YYYYMM,kubun,industry,Average_PER,Average_PBR,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Prime,水産・農林業,11.6,1.0,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Prime,鉱業,10.5,0.9,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Prime,建設業,17.5,1.5,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Prime,食料品,20.6,1.3,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Prime,繊維製品,20.3,1.2,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Prime,パルプ・紙,14.3,0.6,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Prime,化学,17.7,1.1,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Prime,医薬品,19.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Prime,石油・石炭製品,17.0,0.9,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Prime,ゴム製品,13.6,1.1,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Prime,ガラス・土石製品,24.7,1.6,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Prime,鉄鋼,10.3,0.7,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Prime,非鉄金属,19.6,1.5,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Prime,金属製品,12.5,0.8,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Prime,機械,20.3,1.6,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Prime,電気機器,21.3,1.9,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Prime,輸送用機器,18.2,1.0,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Prime,精密機器,22.2,2.0,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Prime,その他製品,19.4,1.5,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Prime,電気・ガス業,9.7,0.8,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Prime,陸運業,13.5,1.1,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Prime,海運業,5.1,0.8,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Prime,空運業,10.4,1.3,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Prime,倉庫・運輸関連業,18.1,1.2,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Prime,情報・通信業,25.4,2.5,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Prime,卸売業,13.1,1.2,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Prime,小売業,22.0,1.9,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Prime,銀行業,13.5,0.7,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Prime,証券、商品先物取引業,14.2,1.3,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Prime,保険業,12.1,1.3,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Prime,その他金融業,12.6,1.0,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Prime,不動産業,13.6,1.7,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Prime,サービス業,20.0,1.9,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Standard,水産・農林業,20.6,1.4,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Standard,鉱業,9.3,1.4,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Standard,建設業,12.3,0.9,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Standard,食料品,19.1,1.2,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Standard,繊維製品,17.3,0.6,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Standard,パルプ・紙,10.6,0.6,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Standard,化学,14.8,0.9,,,,,,,,,,,,,,,,,,,,,,,
